,age,education,employment_status,fam_income,hh_income,hours_worked,labor_status,married,numfamily,personal_income,race,school_status,sex,state,wage_income,education_hs,education_college,state_nh,sex_male,school_status_attending,race_white,labor_status_working,personal_income_none,hh_income_cleaned,personal_income_cleaned,fam_income_cleaned,married_now,wage_income_cleaned
3849,14,1,0,80100,80100,999,0,6,4,99999999,100,0,2,50,9999999,0,0,0,0,0,1,0,1,80100,0,80100,0,9999999
3850,12,1,0,80100,80100,999,0,6,4,99999999,100,0,2,50,9999999,0,0,0,0,0,1,0,1,80100,0,80100,0,9999999
3851,85,111,36,27835,27835,999,1,4,1,27835,100,0,2,50,0,1,1,0,0,0,1,0,0,27835,27835,27835,0,0
3852,85,123,36,59436,59436,999,1,5,1,59436,100,0,2,50,0,1,1,0,0,0,1,0,0,59436,59436,59436,0,0
3853,49,40,10,66187,66187,40,2,1,2,37092,100,5,1,50,37000,0,0,0,1,0,1,1,0,66187,37092,66187,1,37000
3854,46,91,10,66187,66187,36,2,1,2,29095,100,5,2,50,29000,1,0,0,0,0,1,1,0,66187,29095,66187,1,29000
3855,62,123,10,150084,150084,12,2,1,3,99040,100,0,1,50,10000,1,1,0,1,0,1,1,0,150084,99040,150084,1,10000
3856,56,111,10,150084,150084,22,2,1,3,26037,100,0,2,50,26000,1,1,0,0,0,1,1,0,150084,26037,150084,1,26000
3857,21,81,12,150084,150084,999,2,6,3,25007,100,3,2,50,7000,1,0,0,0,1,1,1,0,150084,25007,150084,0,7000
3858,33,123,10,92441,92441,30,2,1,4,24657,100,5,2,50,24647,1,1,0,0,0,1,1,0,92441,24657,92441,1,24647
3859,31,73,10,92441,92441,45,2,1,4,67784,100,5,1,50,67724,1,0,0,1,0,1,1,0,92441,67784,92441,1,67724
3860,5,1,0,92441,92441,999,0,6,4,99999999,100,0,1,50,9999999,0,0,0,1,0,1,0,1,92441,0,92441,0,9999999
3861,1,1,0,92441,92441,999,0,6,4,99999999,100,0,1,50,9999999,0,0,0,1,0,1,0,1,92441,0,92441,0,9999999
3862,72,123,36,117319,117319,999,1,1,2,47025,100,0,1,50,0,1,1,0,1,0,1,0,0,117319,47025,117319,1,0
3863,60,111,10,117319,117319,38,2,1,2,70294,100,0,2,50,58000,1,1,0,0,0,1,1,0,117319,70294,117319,1,58000
3864,66,125,10,126299,126299,40,2,1,2,116262,100,0,1,50,94000,1,1,0,1,0,1,1,0,126299,116262,126299,1,94000
3865,66,111,34,126299,126299,999,1,1,2,10037,100,0,2,50,0,1,1,0,0,0,1,0,0,126299,10037,126299,1,0
3866,27,111,10,52301,52301,60,2,6,1,52301,100,5,1,50,46000,1,1,0,1,0,1,1,0,52301,52301,52301,0,46000
3867,66,81,36,32828,32828,999,1,4,1,32828,100,0,1,50,0,1,0,0,1,0,1,0,0,32828,32828,32828,0,0
3868,48,81,12,215155,215155,999,2,1,4,90097,100,5,1,50,85000,1,0,0,1,0,1,1,0,215155,90097,215155,1,85000
3869,48,123,10,215155,215155,40,2,1,4,120081,100,5,2,50,115000,1,1,0,0,0,1,1,0,215155,120081,215155,1,115000
3870,17,50,10,215155,215155,6,2,6,4,4964,100,1,1,50,4750,0,0,0,1,1,1,1,0,215155,4964,215155,0,4750
3871,15,30,34,215155,215155,999,1,6,4,13,100,0,1,50,0,0,0,0,1,0,1,0,0,215155,13,215155,0,0
3872,44,123,10,110745,110745,2,2,1,4,50010,100,5,2,50,50000,1,1,0,0,0,1,1,0,110745,50010,110745,1,50000
3873,44,73,10,110745,110745,70,2,1,4,60735,100,5,1,50,0,1,0,0,1,0,1,1,0,110745,60735,110745,1,0
3874,15,30,34,110745,110745,999,1,6,4,0,100,0,1,50,0,0,0,0,1,0,1,0,1,110745,0,110745,0,0
3875,14,1,0,110745,110745,999,0,6,4,99999999,100,0,1,50,9999999,0,0,0,1,0,1,0,1,110745,0,110745,0,9999999
3876,29,111,10,32625,69625,65,2,6,1,32625,100,5,1,50,32299,1,1,0,1,0,1,1,0,69625,32625,32625,0,32299
3877,25,81,10,37000,69625,40,2,6,1,37000,300,5,2,50,37000,1,0,0,0,0,0,1,0,69625,37000,37000,0,37000
3878,30,111,10,36610,36610,55,2,6,1,36610,100,5,1,50,35000,1,1,0,1,0,1,1,0,36610,36610,36610,0,35000
3879,53,73,10,3600,3600,25,2,4,1,3600,100,5,1,50,0,1,0,0,1,0,1,1,0,3600,3600,3600,0,0
3880,69,73,36,42084,42084,999,1,1,2,19200,100,0,2,50,0,1,0,0,0,0,1,0,0,42084,19200,42084,1,0
3881,69,73,36,42084,42084,999,1,1,2,22884,100,0,1,50,0,1,0,0,1,0,1,0,0,42084,22884,42084,1,0
3882,35,92,10,51912,51912,20,2,1,4,26907,100,4,2,50,0,1,0,0,0,1,1,1,0,51912,26907,51912,1,0
3883,36,92,10,51912,51912,40,2,1,4,25005,100,5,1,50,25000,1,0,0,1,0,1,1,0,51912,25005,51912,1,25000
3884,10,1,0,51912,51912,999,0,6,4,99999999,100,0,2,50,9999999,0,0,0,0,0,1,0,1,51912,0,51912,0,9999999
3885,4,1,0,51912,51912,999,0,6,4,99999999,100,0,2,50,9999999,0,0,0,0,0,1,0,1,51912,0,51912,0,9999999
3886,31,81,10,46002,46002,74,2,1,4,3951,100,5,2,50,0,1,0,0,0,0,1,1,0,46002,3951,46002,1,0
3887,37,73,10,46002,46002,57,2,1,4,42051,100,5,1,50,42000,1,0,0,1,0,1,1,0,46002,42051,46002,1,42000
3888,7,1,0,46002,46002,999,0,6,4,99999999,100,0,2,50,9999999,0,0,0,0,0,1,0,1,46002,0,46002,0,9999999
3889,4,1,0,46002,46002,999,0,6,4,99999999,100,0,1,50,9999999,0,0,0,1,0,1,0,1,46002,0,46002,0,9999999
3890,80,73,36,30672,30672,999,1,1,2,17424,100,0,1,50,0,1,0,0,1,0,1,0,0,30672,17424,30672,1,0
3891,78,73,36,30672,30672,999,1,1,2,13248,100,0,2,50,0,1,0,0,0,0,1,0,0,30672,13248,30672,1,0
3892,61,81,10,115000,217706,25,2,4,1,115000,100,0,1,50,0,1,0,0,1,0,1,1,0,217706,115000,115000,0,0
3893,59,111,10,102706,217706,40,2,4,1,102706,100,0,2,50,70000,1,1,0,0,0,1,1,0,217706,102706,102706,0,70000
3894,60,92,36,99675,99675,999,1,1,2,52169,100,0,1,50,52000,1,0,0,1,0,1,0,0,99675,52169,99675,1,52000
3895,54,123,10,99675,99675,40,2,1,2,47506,100,5,2,50,47000,1,1,0,0,0,1,1,0,99675,47506,99675,1,47000
3896,70,124,36,60129,60129,999,1,4,1,60129,100,0,2,50,0,1,1,0,0,0,1,0,0,60129,60129,60129,0,0
3897,60,111,10,85003,85003,40,2,2,1,85003,100,0,1,50,85000,1,1,0,1,0,1,1,0,85003,85003,85003,1,85000
3898,30,81,32,15722,15722,999,1,6,3,15722,100,3,2,50,0,1,0,0,0,1,1,0,0,15722,15722,15722,0,0
3899,5,1,0,15722,15722,999,0,6,3,99999999,100,0,2,50,9999999,0,0,0,0,0,1,0,1,15722,0,15722,0,9999999
3900,3,1,0,15722,15722,999,0,6,3,99999999,100,0,1,50,9999999,0,0,0,1,0,1,0,1,15722,0,15722,0,9999999
3901,68,73,10,69346,69346,42,2,1,2,48400,100,0,1,50,25045,1,0,0,1,0,1,1,0,69346,48400,69346,1,25045
3902,58,73,10,69346,69346,38,2,1,2,20946,100,0,2,50,20905,1,0,0,0,0,1,1,0,69346,20946,69346,1,20905
3903,39,73,10,40102,60102,72,2,1,5,28102,100,5,2,50,25700,1,0,0,0,0,1,1,0,60102,28102,40102,1,25700
3904,39,73,10,40102,60102,42,2,1,5,12000,100,5,1,50,0,1,0,0,1,0,1,1,0,60102,12000,40102,1,0
3905,16,40,34,40102,60102,999,1,6,5,0,100,1,2,50,0,0,0,0,0,1,1,0,1,60102,0,40102,0,0
3906,9,1,0,40102,60102,999,0,6,5,99999999,100,0,2,50,9999999,0,0,0,0,0,1,0,1,60102,0,40102,0,9999999
3907,3,1,0,40102,60102,999,0,6,5,99999999,100,0,2,50,9999999,0,0,0,0,0,1,0,1,60102,0,40102,0,9999999
3908,23,73,10,20000,60102,16,2,6,1,20000,200,5,1,50,20000,1,0,0,1,0,0,1,0,60102,20000,20000,0,20000
3909,45,123,10,159600,159600,50,2,1,4,38550,100,5,2,50,38000,1,1,0,0,0,1,1,0,159600,38550,159600,1,38000
3910,47,124,10,159600,159600,50,2,1,4,121050,100,5,1,50,120000,1,1,0,1,0,1,1,0,159600,121050,159600,1,120000
3911,13,1,0,159600,159600,999,0,6,4,99999999,100,0,2,50,9999999,0,0,0,0,0,1,0,1,159600,0,159600,0,9999999
3912,10,1,0,159600,159600,999,0,6,4,99999999,100,0,1,50,9999999,0,0,0,1,0,1,0,1,159600,0,159600,0,9999999
3913,32,123,10,92046,92046,36,2,1,4,67040,100,5,2,50,67000,1,1,0,0,0,1,1,0,92046,67040,92046,1,67000
3914,32,111,10,92046,92046,40,2,1,4,25006,100,5,1,50,25000,1,1,0,1,0,1,1,0,92046,25006,92046,1,25000
3915,4,1,0,92046,92046,999,0,6,4,99999999,100,0,1,50,9999999,0,0,0,1,0,1,0,1,92046,0,92046,0,9999999
3916,3,1,0,92046,92046,999,0,6,4,99999999,100,0,1,50,9999999,0,0,0,1,0,1,0,1,92046,0,92046,0,9999999
3917,72,81,10,54089,54089,30,2,5,1,54089,100,0,2,50,25000,1,0,0,0,0,1,1,0,54089,54089,54089,0,25000
3918,73,123,36,64855,64855,999,1,6,1,64855,100,0,2,50,0,1,1,0,0,0,1,0,0,64855,64855,64855,0,0
3919,26,81,10,24007,45508,40,2,6,3,24007,100,5,2,50,24000,1,0,0,0,0,1,1,0,45508,24007,24007,0,24000
3920,1,1,0,24007,45508,999,0,6,3,99999999,100,0,1,50,9999999,0,0,0,1,0,1,0,1,45508,0,24007,0,9999999
3921,0,1,0,24007,45508,999,0,6,3,99999999,100,0,2,50,9999999,0,0,0,0,0,1,0,1,45508,0,24007,0,9999999
3922,27,92,10,21501,45508,42,2,6,1,21501,100,5,1,50,19000,1,0,0,1,0,1,1,0,45508,21501,21501,0,19000
3923,68,73,10,43323,43323,40,2,4,2,43323,100,0,2,50,31000,1,0,0,0,0,1,1,0,43323,43323,43323,0,31000
3924,64,73,36,43323,43323,999,1,4,2,0,100,0,1,50,0,1,0,0,1,0,1,0,1,43323,0,43323,0,0
3925,43,91,10,112004,112004,43,2,1,4,38001,100,5,2,50,38000,1,0,0,0,0,1,1,0,112004,38001,112004,1,38000
3926,48,73,10,112004,112004,46,2,1,4,60001,100,5,1,50,60000,1,0,0,1,0,1,1,0,112004,60001,112004,1,60000
3927,18,73,12,112004,112004,999,2,6,4,14001,100,3,1,50,3200,1,0,0,1,1,1,1,0,112004,14001,112004,0,3200
3928,15,30,34,112004,112004,999,1,6,4,1,100,0,2,50,0,0,0,0,0,0,1,0,0,112004,1,112004,0,0
3929,61,123,10,17121,25917,50,2,3,2,8000,100,0,2,50,0,1,1,0,0,0,1,1,0,25917,8000,17121,0,0
3930,29,73,10,17121,25917,20,2,6,2,9121,100,5,2,50,8000,1,0,0,0,0,1,1,0,25917,9121,17121,0,8000
